"","nombre_promocional","longitud","latitud","enlace_web","Tipo","geometry","corpse_category"
"82","Villamantilla","-4.127675","40.342737","http://www.nacionrotonda.com/2014/05/villamantilla-madrid.html",,,"Desenterrados"
"83","Zuera","-0.783819","41.866881","http://www.nacionrotonda.com/2014/05/zuera-zaragoza.html",,,"Desenterrados"
"84","Cala Tarida","1.239492","38.938694","http://www.nacionrotonda.com/2014/06/cala-tarida-ibiza-illes-balears.html",,,"Desenterrados"
"85","Carril","-8.772257","42.616506","http://www.nacionrotonda.com/2014/06/carril-pontevedra.html",,,"Desenterrados"
"86","Comillas","-4.282735","43.383813","http://www.nacionrotonda.com/2014/06/comillas-cantabria.html",,,"Desenterrados"
"87","Corella","-1.78589","42.113236","http://www.nacionrotonda.com/2014/06/corella-navarra.html",,,"Desenterrados"
"88","Cuarte","-0.450862","42.107484","http://www.nacionrotonda.com/2014/06/cuarte-huesca.html",,,"Desenterrados"
"89","Horche","-3.068498","40.57109","http://www.nacionrotonda.com/2014/06/horta-guadalajara_20.html",,,"Desenterrados"
"90","Isla Plana","-1.213747","37.57767","http://www.nacionrotonda.com/2014/06/isla-plana-murcia.html",,,"Desenterrados"
"91","La Poveda","-3.475325","40.300995","http://www.nacionrotonda.com/2014/06/la-poveda-madrid.html",,,"Desenterrados"
"92","Lliria (Norte)","-0.630885","39.65053","http://www.nacionrotonda.com/2014/06/lliria-norte-valencia.html",,,"Desenterrados"
"93","Muelle Prat","2.140792","41.312234","http://www.nacionrotonda.com/2014/06/muelle-prat-barcelona.html",,,"Desenterrados"
"94","Oion","-2.436469","42.500325","http://www.nacionrotonda.com/2014/06/oion-oyon-alava-araba.html",,,"Desenterrados"
"95","Palacio de la Zarzuela","-3.799839","40.482919","http://www.nacionrotonda.com/2014/06/palacio-de-la-zarzuela-madrid.html",,,"Desenterrados"
"96","Real Federación Española de Fútbol","-3.89672","40.52309","http://www.nacionrotonda.com/2014/06/real-federacion-espanola-de-futbol-las.html",,,"Desenterrados"
"97","rotura del muelle del Prat","2.153435","41.313778","http://www.nacionrotonda.com/2014/06/rotura-del-muelle-prat-barcelona.html",,,"Desenterrados"
"98","Salcedo","-6.983265","43.532459","http://www.nacionrotonda.com/2014/06/salcedo-asturias.html",,,"Desenterrados"
"99","Sant Guim de Freixenet","1.422537","41.649097","http://www.nacionrotonda.com/2014/06/sant-guim-de-freixenet-lleida.html",,,"Desenterrados"
"100","Serres","-9.072219","42.784366","http://www.nacionrotonda.com/2014/06/serres-coruna.html",,,"Desenterrados"
"101","Sils","2.739299","41.815171","http://www.nacionrotonda.com/2014/06/sils-girona.html",,,"Desenterrados"
"102","Sotolargo","-3.290816","40.64449","http://www.nacionrotonda.com/2014/06/sotolargo-guadalajara.html",,,"Desenterrados"
"103","Té","-8.806738","42.671873","http://www.nacionrotonda.com/2014/06/te-coruna.html",,,"Desenterrados"
"104","Torrelavega","-4.044709","43.335523","http://www.nacionrotonda.com/2014/06/torrelavega-sur-cantabria.html",,,"Desenterrados"
"105","Trasvase del Ebro (Xerta)","0.466096","40.917092","http://www.nacionrotonda.com/2014/06/trasvase-del-ebro-xerta-tarragona.html",,,"Desenterrados"
"106","Valdeluz","-3.102875","40.592632","http://www.nacionrotonda.com/2014/06/valdeluz-guadalajara.html",,,"Desenterrados"
"107","Vitigudino","-6.433228","41.008767","http://www.nacionrotonda.com/2014/06/vitigudino-salamanca.html",,,"Desenterrados"
"108","Abama","-16.792325","28.171002","http://www.nacionrotonda.com/2014/07/abama-tenerife-santa-cruz-de-tenerife.html",,,"Desenterrados"
"109","Aguadulce","-4.992902","37.252998","http://www.nacionrotonda.com/2014/07/aguadulce-sevilla.html",,,"Desenterrados"
"110","Almaraz","-5.669893","39.82017","http://www.nacionrotonda.com/2014/07/almaraz-caceres.html",,,"Desenterrados"
"111","Belako","-2.818144","43.347254","http://www.nacionrotonda.com/2014/07/belako-bizkaia.html",,,"Desenterrados"
"112","Benicassim (norte)","0.105989","40.059932","http://www.nacionrotonda.com/2014/07/benicassim-norte-castellon.html",,,"Desenterrados"
"113","Borox","-3.741864","40.073097","http://www.nacionrotonda.com/2014/07/borox-toledo.html",,,"Desenterrados"
"114","Cabra","-4.446457","37.474773","http://www.nacionrotonda.com/2014/07/cabra-cordoba.html",,,"Desenterrados"
"115","Ciudad Deportiva del Real Madrid","-3.687254","40.477869","http://www.nacionrotonda.com/2014/07/ciudad-deportiva-del-real-madrid-madrid.html",,,"Desenterrados"
"116","El Rompido","-7.116169","37.219941","http://www.nacionrotonda.com/2014/07/el-rompido-huelva.html",,,"Desenterrados"
"117","Hernán-Valle","-3.087884","37.336418","http://www.nacionrotonda.com/2014/07/hernan-valle-jaen.html",,,"Desenterrados"
"118","Jódar","-3.34461","37.836378","http://www.nacionrotonda.com/2014/07/jodar-jaen.html",,,"Desenterrados"
"119","La Alfoquía","-2.037873","37.35829","http://www.nacionrotonda.com/2014/07/la-alfoquia-almeria.html",,,"Desenterrados"
"120","Mar de Pulpí","-1.684758","37.346265","http://www.nacionrotonda.com/2014/07/mar-de-pulpi-almeria.html",,,"Desenterrados"
"121","Mérida (Norte)","-6.343012","38.936598","http://www.nacionrotonda.com/2014/07/merida-norte-badajoz.html",,,"Desenterrados"
